time_s,fuel_power_engine1_kw,fuel_power_engine2_kw,fuel_power_engine3_kw,battery_power_kw,electric_load_kw,propeller_power_kw
1643.67,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1653.7,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1663.72,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1673.74,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1683.76,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1693.79,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1703.81,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1713.83,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1723.85,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1733.88,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1743.9,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1753.92,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1763.94,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1773.96,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1783.99,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1794.01,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1804.03,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1814.05,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1824.08,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1834.1,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1844.12,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1854.14,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1864.17,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1874.19,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1884.21,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1894.23,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1904.26,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1914.28,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1924.3,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1934.32,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1944.35,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1954.37,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1964.39,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1974.41,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1984.44,7110.0,7110.0,2680.0,0.73,100.0,3180.0
1994.46,7110.0,7110.0,2680.0,0.73,100.0,3180.0
2004.48,7110.0,7110.0,2680.0,0.73,100.0,3180.0
2014.5,7110.0,7110.0,2680.0,0.73,100.0,3180.0
2024.52,7110.0,7110.0,2680.0,0.73,100.0,3180.0
2034.55,7110.0,7110.0,2680.0,0.73,100.0,3180.0
2044.57,7110.0,7110.0,2680.0,0.73,100.0,3170.0
2054.59,7110.0,7110.0,2680.0,0.73,100.0,3160.0
2064.61,7110.0,7110.0,2680.0,0.73,100.0,3150.0
2074.64,7110.0,7110.0,2680.0,0.73,100.0,3150.0
2084.66,7110.0,7110.0,2680.0,0.73,100.0,3150.0
2094.68,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2104.7,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2114.73,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2124.75,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2134.77,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2144.79,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2154.82,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2164.84,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2174.86,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2184.88,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2194.91,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2204.93,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2214.95,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2224.97,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2235.0,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2245.02,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2255.04,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2265.06,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2275.08,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2285.11,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2295.13,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2305.15,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2315.17,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2325.2,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2335.22,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2345.24,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2355.26,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2365.29,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2375.31,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2385.33,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2395.35,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2405.38,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2415.4,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2425.42,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2435.44,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2445.47,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2455.49,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2465.51,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2475.53,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2485.56,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2495.58,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2505.6,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2515.62,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2525.64,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2535.67,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2545.69,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2555.71,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2565.73,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2575.76,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2585.78,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2595.8,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2605.82,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2615.85,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2625.87,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2635.89,7110.0,7110.0,2680.0,0.73,100.0,3140.0
2645.91,7110.0,7110.0,2680.0,0.73,100.0,3140.0
