time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
2756.16,1.08,0.772,0.279
2766.18,1.08,0.777,0.281
2776.2,1.09,0.782,0.283
2786.23,1.09,0.787,0.285
2796.25,1.1,0.793,0.287
2806.27,1.1,0.798,0.289
2816.29,1.11,0.803,0.291
2826.32,1.11,0.808,0.293
2836.34,1.12,0.813,0.294
2846.36,1.12,0.818,0.296
2856.38,1.13,0.823,0.298
2866.41,1.13,0.828,0.3
2876.43,1.14,0.833,0.302
2886.45,1.14,0.838,0.304
2896.47,1.15,0.844,0.306
2906.5,1.15,0.849,0.308
2916.52,1.16,0.854,0.31
2926.54,1.16,0.859,0.312
2936.56,1.17,0.864,0.314
2946.59,1.17,0.869,0.316
2956.61,1.18,0.874,0.317
2966.63,1.18,0.879,0.319
2976.65,1.19,0.884,0.321
2986.68,1.19,0.889,0.323
2996.7,1.2,0.895,0.325
3006.72,1.2,0.9,0.327
3016.74,1.21,0.905,0.329
3026.76,1.21,0.91,0.331
3036.79,1.22,0.915,0.333
3046.81,1.22,0.92,0.335
3056.83,1.23,0.925,0.337
3066.85,1.23,0.93,0.339
3076.88,1.24,0.935,0.341
3086.9,1.24,0.94,0.342
3096.92,1.25,0.946,0.344
3106.94,1.25,0.951,0.346
3116.97,1.26,0.956,0.348
3126.99,1.26,0.961,0.35
3137.01,1.27,0.966,0.352
3147.03,1.27,0.971,0.354
3157.06,1.28,0.976,0.356
3167.08,1.28,0.981,0.358
3177.1,1.29,0.986,0.36
3187.12,1.3,0.991,0.362
3197.15,1.3,0.997,0.364
3207.17,1.31,1.0,0.366
3217.19,1.31,1.01,0.367
3227.21,1.32,1.01,0.369
3237.24,1.32,1.02,0.371
3247.26,1.33,1.02,0.373
3257.28,1.33,1.03,0.375
3267.3,1.34,1.03,0.377
3277.32,1.34,1.04,0.379
3287.35,1.35,1.04,0.381
3297.37,1.35,1.05,0.383
3307.39,1.36,1.05,0.385
3317.41,1.36,1.06,0.387
3327.44,1.37,1.06,0.389
3337.46,1.37,1.07,0.39
3347.48,1.38,1.07,0.392
3357.5,1.38,1.08,0.394
3367.53,1.39,1.08,0.396
3377.55,1.39,1.09,0.398
3387.57,1.4,1.09,0.4
3397.59,1.4,1.1,0.402
3407.62,1.41,1.1,0.404
3417.64,1.41,1.11,0.406
3427.66,1.42,1.11,0.408
3437.68,1.42,1.12,0.41
3447.71,1.43,1.12,0.412
3457.73,1.43,1.13,0.414
3467.75,1.44,1.13,0.415
3477.77,1.44,1.14,0.417
3487.8,1.45,1.14,0.419
3497.82,1.45,1.15,0.421
3507.84,1.46,1.15,0.423
3517.86,1.46,1.16,0.425
3527.88,1.47,1.16,0.427
3537.91,1.47,1.17,0.429
3547.93,1.48,1.17,0.431
3557.95,1.48,1.18,0.433
3567.97,1.49,1.19,0.435
3578.0,1.49,1.19,0.437
3588.02,1.5,1.2,0.439
3598.04,1.5,1.2,0.44
3608.06,1.51,1.21,0.442
3618.09,1.51,1.21,0.444
3628.11,1.52,1.22,0.446
3638.13,1.52,1.22,0.448
3648.15,1.53,1.23,0.45
3658.18,1.53,1.23,0.452
3668.2,1.54,1.24,0.454
3678.22,1.54,1.24,0.456
3688.24,1.55,1.25,0.458
3698.27,1.56,1.25,0.46
3708.29,1.56,1.26,0.462
3718.31,1.57,1.26,0.463
3728.33,1.57,1.27,0.465
3738.36,1.58,1.27,0.467
3748.38,1.58,1.28,0.469
3758.4,1.59,1.28,0.471
3768.42,1.59,1.29,0.473
3778.44,1.6,1.29,0.475
3788.47,1.6,1.3,0.477
3798.49,1.61,1.3,0.479
3808.51,1.61,1.31,0.481
3818.53,1.62,1.31,0.483
3828.56,1.62,1.32,0.485
3838.58,1.63,1.32,0.487
3848.6,1.63,1.33,0.488
3858.62,1.64,1.33,0.49
3868.65,1.64,1.34,0.492
3878.67,1.65,1.34,0.494
3888.69,1.65,1.35,0.496
3898.71,1.66,1.35,0.498
3908.74,1.66,1.36,0.5
3918.76,1.67,1.36,0.502
3928.78,1.67,1.37,0.504
3938.8,1.68,1.37,0.506
3948.83,1.68,1.38,0.508
3958.85,1.69,1.38,0.51
3968.87,1.69,1.39,0.511
3978.89,1.7,1.39,0.513
3988.92,1.7,1.4,0.515
3998.94,1.71,1.4,0.517
4008.96,1.71,1.41,0.519
4018.98,1.72,1.41,0.521
4029.0,1.72,1.42,0.523
4039.03,1.73,1.42,0.525
4049.05,1.73,1.43,0.527
4059.07,1.74,1.44,0.529
4069.09,1.74,1.44,0.531
4079.12,1.75,1.45,0.533
4089.14,1.75,1.45,0.535
4099.16,1.76,1.46,0.536
4109.18,1.76,1.46,0.538
4119.21,1.77,1.47,0.54
4129.23,1.77,1.47,0.542
4139.25,1.78,1.48,0.544
4149.27,1.78,1.48,0.546
4159.3,1.79,1.49,0.548
4169.32,1.79,1.49,0.55
4179.34,1.8,1.5,0.552
4189.36,1.8,1.5,0.554
4199.39,1.81,1.51,0.556
4209.41,1.82,1.51,0.558
