time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
2966.63,0.376,0.279,0.101
2976.65,0.377,0.281,0.102
2986.68,0.379,0.282,0.103
2996.7,0.38,0.284,0.103
3006.72,0.382,0.286,0.104
3016.74,0.384,0.287,0.104
3026.76,0.385,0.289,0.105
3036.79,0.387,0.29,0.106
3046.81,0.388,0.292,0.106
3056.83,0.39,0.294,0.107
3066.85,0.392,0.295,0.107
3076.88,0.393,0.297,0.108
3086.9,0.395,0.299,0.109
3096.92,0.397,0.3,0.109
3106.94,0.398,0.302,0.11
3116.97,0.4,0.303,0.111
3126.99,0.401,0.305,0.111
3137.01,0.403,0.307,0.112
3147.03,0.405,0.308,0.112
3157.06,0.406,0.31,0.113
3167.08,0.408,0.311,0.114
3177.1,0.41,0.313,0.114
3187.12,0.411,0.315,0.115
3197.15,0.413,0.316,0.115
3207.17,0.414,0.318,0.116
3217.19,0.416,0.32,0.117
3227.21,0.418,0.321,0.117
3237.24,0.419,0.323,0.118
3247.26,0.421,0.324,0.118
3257.28,0.422,0.326,0.119
3267.3,0.424,0.328,0.12
3277.32,0.426,0.329,0.12
3287.35,0.427,0.331,0.121
3297.37,0.429,0.333,0.122
3307.39,0.431,0.334,0.122
3317.41,0.432,0.336,0.123
3327.44,0.434,0.337,0.123
3337.46,0.435,0.339,0.124
3347.48,0.437,0.341,0.125
3357.5,0.439,0.342,0.125
3367.53,0.44,0.344,0.126
3377.55,0.442,0.345,0.126
3387.57,0.443,0.347,0.127
3397.59,0.445,0.349,0.128
3407.62,0.447,0.35,0.128
3417.64,0.448,0.352,0.129
3427.66,0.45,0.354,0.129
3437.68,0.452,0.355,0.13
3447.71,0.453,0.357,0.131
3457.73,0.455,0.358,0.131
3467.75,0.456,0.36,0.132
3477.77,0.458,0.362,0.132
3487.8,0.46,0.363,0.133
3497.82,0.461,0.365,0.134
3507.84,0.463,0.367,0.134
3517.86,0.465,0.368,0.135
3527.88,0.466,0.37,0.136
3537.91,0.468,0.371,0.136
3547.93,0.469,0.373,0.137
3557.95,0.471,0.375,0.137
3567.97,0.473,0.376,0.138
3578.0,0.474,0.378,0.139
3588.02,0.476,0.379,0.139
3598.04,0.477,0.381,0.14
3608.06,0.479,0.383,0.14
3618.09,0.481,0.384,0.141
3628.11,0.482,0.386,0.142
3638.13,0.484,0.388,0.142
3648.15,0.486,0.389,0.143
3658.18,0.487,0.391,0.143
3668.2,0.489,0.392,0.144
3678.22,0.49,0.394,0.145
3688.24,0.492,0.396,0.145
3698.27,0.494,0.397,0.146
3708.29,0.495,0.399,0.147
3718.31,0.497,0.401,0.147
3728.33,0.499,0.402,0.148
3738.36,0.5,0.404,0.148
3748.38,0.502,0.405,0.149
3758.4,0.503,0.407,0.15
3768.42,0.505,0.409,0.15
3778.44,0.507,0.41,0.151
3788.47,0.508,0.412,0.151
3798.49,0.51,0.413,0.152
3808.51,0.511,0.415,0.153
3818.53,0.513,0.417,0.153
3828.56,0.515,0.418,0.154
3838.58,0.516,0.42,0.154
3848.6,0.518,0.422,0.155
3858.62,0.52,0.423,0.156
3868.65,0.521,0.425,0.156
3878.67,0.523,0.426,0.157
3888.69,0.524,0.428,0.157
3898.71,0.526,0.43,0.158
3908.74,0.528,0.431,0.159
3918.76,0.529,0.433,0.159
3928.78,0.531,0.435,0.16
3938.8,0.533,0.436,0.161
3948.83,0.534,0.438,0.161
3958.85,0.536,0.439,0.162
3968.87,0.537,0.441,0.162
3978.89,0.539,0.443,0.163
3988.92,0.541,0.444,0.164
3998.94,0.542,0.446,0.164
4008.96,0.544,0.447,0.165
4018.98,0.545,0.449,0.165
4029.0,0.547,0.451,0.166
4039.03,0.549,0.452,0.167
4049.05,0.55,0.454,0.167
4059.07,0.552,0.456,0.168
4069.09,0.554,0.457,0.168
4079.12,0.555,0.459,0.169
4089.14,0.557,0.46,0.17
4099.16,0.558,0.462,0.17
4109.18,0.56,0.464,0.171
4119.21,0.562,0.465,0.172
4129.23,0.563,0.467,0.172
4139.25,0.565,0.469,0.173
4149.27,0.567,0.47,0.173
4159.3,0.568,0.472,0.174
4169.32,0.57,0.473,0.175
4179.34,0.571,0.475,0.175
4189.36,0.573,0.477,0.176
4199.39,0.575,0.478,0.176
4209.41,0.576,0.48,0.177
4219.43,0.578,0.481,0.178
4229.45,0.579,0.483,0.178
4239.48,0.581,0.485,0.179
4249.5,0.583,0.486,0.179
4259.52,0.584,0.488,0.18
4269.54,0.586,0.49,0.181
4279.56,0.588,0.491,0.181
4289.59,0.589,0.493,0.182
4299.61,0.591,0.494,0.182
4309.63,0.592,0.496,0.183
4319.65,0.594,0.498,0.184
4329.68,0.596,0.499,0.184
4339.7,0.597,0.501,0.185
4349.72,0.599,0.503,0.186
4359.74,0.601,0.504,0.186
4369.77,0.602,0.506,0.187
4379.79,0.604,0.507,0.187
4389.81,0.605,0.509,0.188
4399.83,0.607,0.511,0.189
4409.86,0.609,0.512,0.189
4419.88,0.61,0.514,0.19
4429.9,0.612,0.515,0.19
4439.92,0.613,0.517,0.191
4449.95,0.615,0.519,0.192
4459.97,0.617,0.52,0.192
4469.99,0.618,0.522,0.193
4480.01,0.62,0.524,0.193
4490.04,0.622,0.525,0.194
4500.06,0.623,0.527,0.195
4510.08,0.625,0.528,0.195
4520.1,0.626,0.53,0.196
4530.12,0.628,0.532,0.197
4540.15,0.63,0.533,0.197
4550.17,0.631,0.535,0.198
4560.19,0.633,0.536,0.198
4570.21,0.635,0.538,0.199
4580.24,0.636,0.54,0.2
4590.26,0.638,0.541,0.2
4600.28,0.639,0.543,0.201
