time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
2435.44,0.911,0.6,0.214
2445.47,0.916,0.605,0.216
2455.49,0.921,0.61,0.218
2465.51,0.926,0.615,0.22
2475.53,0.931,0.62,0.222
2485.56,0.936,0.625,0.224
2495.58,0.941,0.63,0.226
2505.6,0.947,0.636,0.228
2515.62,0.952,0.641,0.23
2525.64,0.957,0.646,0.232
2535.67,0.962,0.651,0.233
2545.69,0.967,0.656,0.235
2555.71,0.972,0.661,0.237
2565.73,0.977,0.666,0.239
2575.76,0.982,0.671,0.241
2585.78,0.987,0.676,0.243
2595.8,0.992,0.681,0.245
2605.82,0.998,0.687,0.247
2615.85,1.0,0.692,0.249
2625.87,1.01,0.697,0.251
2635.89,1.01,0.702,0.253
2645.91,1.02,0.707,0.255
2655.94,1.02,0.712,0.256
2665.96,1.03,0.717,0.258
2675.98,1.03,0.722,0.26
2686.0,1.04,0.727,0.262
2696.03,1.04,0.732,0.264
2706.05,1.05,0.737,0.266
2716.07,1.05,0.743,0.268
2726.09,1.06,0.748,0.27
2736.12,1.06,0.753,0.272
2746.14,1.07,0.758,0.274
2756.16,1.07,0.763,0.276
2766.18,1.08,0.768,0.278
2776.2,1.08,0.773,0.28
2786.23,1.09,0.778,0.281
2796.25,1.09,0.783,0.283
2806.27,1.1,0.788,0.285
2816.29,1.1,0.794,0.287
2826.32,1.11,0.799,0.289
2836.34,1.11,0.804,0.291
2846.36,1.12,0.809,0.293
2856.38,1.13,0.814,0.295
2866.41,1.13,0.819,0.297
2876.43,1.14,0.824,0.299
2886.45,1.14,0.829,0.301
2896.47,1.15,0.834,0.303
2906.5,1.15,0.839,0.304
2916.52,1.16,0.845,0.306
2926.54,1.16,0.85,0.308
2936.56,1.17,0.855,0.31
2946.59,1.17,0.86,0.312
2956.61,1.18,0.865,0.314
2966.63,1.18,0.87,0.316
2976.65,1.19,0.875,0.318
2986.68,1.19,0.88,0.32
2996.7,1.2,0.885,0.322
3006.72,1.2,0.89,0.324
3016.74,1.21,0.896,0.326
3026.76,1.21,0.901,0.328
3036.79,1.22,0.906,0.329
3046.81,1.22,0.911,0.331
3056.83,1.23,0.916,0.333
3066.85,1.23,0.921,0.335
3076.88,1.24,0.926,0.337
3086.9,1.24,0.931,0.339
3096.92,1.25,0.936,0.341
3106.94,1.25,0.941,0.343
3116.97,1.26,0.947,0.345
3126.99,1.26,0.952,0.347
3137.01,1.27,0.957,0.349
3147.03,1.27,0.962,0.351
3157.06,1.28,0.967,0.353
3167.08,1.28,0.972,0.354
3177.1,1.29,0.977,0.356
3187.12,1.29,0.982,0.358
3197.15,1.3,0.987,0.36
3207.17,1.3,0.992,0.362
3217.19,1.31,0.998,0.364
3227.21,1.31,1.0,0.366
3237.24,1.32,1.01,0.368
3247.26,1.32,1.01,0.37
3257.28,1.33,1.02,0.372
3267.3,1.33,1.02,0.374
3277.32,1.34,1.03,0.376
3287.35,1.34,1.03,0.377
3297.37,1.35,1.04,0.379
3307.39,1.35,1.04,0.381
3317.41,1.36,1.05,0.383
3327.44,1.36,1.05,0.385
3337.46,1.37,1.06,0.387
3347.48,1.37,1.06,0.389
3357.5,1.38,1.07,0.391
3367.53,1.39,1.07,0.393
3377.55,1.39,1.08,0.395
3387.57,1.4,1.08,0.397
3397.59,1.4,1.09,0.399
3407.62,1.41,1.09,0.401
3417.64,1.41,1.1,0.402
3427.66,1.42,1.1,0.404
3437.68,1.42,1.11,0.406
3447.71,1.43,1.11,0.408
3457.73,1.43,1.12,0.41
3467.75,1.44,1.13,0.412
3477.77,1.44,1.13,0.414
3487.8,1.45,1.14,0.416
3497.82,1.45,1.14,0.418
3507.84,1.46,1.15,0.42
3517.86,1.46,1.15,0.422
3527.88,1.47,1.16,0.424
3537.91,1.47,1.16,0.425
3547.93,1.48,1.17,0.427
3557.95,1.48,1.17,0.429
3567.97,1.49,1.18,0.431
3578.0,1.49,1.18,0.433
3588.02,1.5,1.19,0.435
3598.04,1.5,1.19,0.437
3608.06,1.51,1.2,0.439
3618.09,1.51,1.2,0.441
3628.11,1.52,1.21,0.443
3638.13,1.52,1.21,0.445
3648.15,1.53,1.22,0.447
3658.18,1.53,1.22,0.449
3668.2,1.54,1.23,0.45
3678.22,1.54,1.23,0.452
3688.24,1.55,1.24,0.454
3698.27,1.55,1.24,0.456
3708.29,1.56,1.25,0.458
3718.31,1.56,1.25,0.46
3728.33,1.57,1.26,0.462
3738.36,1.57,1.26,0.464
3748.38,1.58,1.27,0.466
3758.4,1.58,1.27,0.468
3768.42,1.59,1.28,0.47
3778.44,1.59,1.28,0.472
3788.47,1.6,1.29,0.474
3798.49,1.6,1.29,0.475
